brand_id_xml,categ_id_xml,series_xml_id,name,series_name,catalog_base_material,catalog_adhesive_type,catalog_characteristics,catalog_features,catalog_applications
brand_tesa,category_tape_foam,catalog_tesa_696xx,tesa® 696xx 胶带,696xx,,UV固化,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_698xx,tesa® 698xx 胶带,698xx,,UV固化,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_699xx,tesa® 699xx 胶带,699xx,,UV固化,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_703xx,tesa® 703xx 胶带,703xx,,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_704xx,tesa® 704xx 胶带,704xx,,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_705xx,tesa® 705xx 胶带,705xx,,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_710xx,tesa® 710xx 胶带,710xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_716xx,tesa® 716xx 胶带,716xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_718xx,tesa® 718xx 胶带,718xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_751xx,tesa® 751xx 胶带,751xx,丙烯酸,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_754xx,tesa® 754xx/756xx 胶带,754xx/756xx,丙烯酸,丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_757xx,tesa® 757xx 胶带,757xx,丙烯酸,丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_758xx,tesa® 758xx 胶带,758xx,丙烯酸,丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_759xx,tesa® 759xx 胶带,759xx,丙烯酸,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_761xx,tesa® 761xx 胶带,761xx,PET,合成橡胶,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_770xx,tesa® 770xx 胶带,770xx,,特殊,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_790xx,tesa® 790xx 胶带,790xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_791xx,tesa® 791xx 胶带,791xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_792xx,tesa® 792xx 胶带,792xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_793xx,tesa® 793xx 胶带,793xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_795xx,tesa® 795xx 胶带,795xx,PET,黑色改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
brand_tesa,category_tape_foam,catalog_tesa_885xx,tesa® 885xx 胶带,885xx,无纺布,改性丙烯酸,,来源: 德莎电子行业胶带应用解决方案(01/2023),
