brand_id_xml,brand_name,series_name,product_features,product_description,main_applications,active,sequence
brand_ui_皇冠_4,皇冠（huangguan）,透明PET双面胶带（对标TESA）,,,,1,10
brand_ui_皇冠_4,皇冠（huangguan）,棉纸双面胶带61系列（耐温120°）,棉纸双面胶，耐温120°。,,"<div data-oe-version=""2.0"">冲压铭板，薄膜开关的粘贴</div>",1,10
brand_ui_皇冠_4,皇冠（huangguan）,棉纸双面胶带60系列（泡棉粘贴）,,,,1,10
brand_ui_皇冠_4,皇冠（huangguan）,无基材双面胶带,无基材,,,1,10
brand_ui_皇冠_4,皇冠（huangguan）,透明PP双面胶带（对标TESA）,PP基材,,,1,10
brand_ui_皇冠_4,皇冠（huangguan）,DS15BH黑色棉纸双面胶带,黑色,,"<div data-oe-version=""2.0""><font>用于电视机喇叭网的粘贴。</font></div>",1,10
brand_ui_皇冠_4,皇冠（huangguan）,排废保护膜；0.06,制程排废用,,"<div data-oe-version=""2.0"">制程排废</div>",1,10
brand_tesa,Tesa,496xx,天然橡胶双面胶带,适用于通用双面贴合和粗糙表面固定。,<p>泡棉辅料贴合</p><p>一般工业固定</p>,1,10
brand_tesa,Tesa,498xx,高粘双面PET胶带,适用于薄型双面贴合与结构固定。,<p>铭牌固定</p><p>塑胶件双面贴合</p>,1,10
brand_tesa,Tesa,519xx,,,,1,10
brand_tesa,Tesa,522xx,,,,1,10
brand_tesa,Tesa,583xx,,,,1,10
brand_tesa,Tesa,609xx,,,,1,10
brand_tesa,Tesa,610xx,,,,1,10
brand_tesa,Tesa,612xx,,,,1,10
brand_tesa,Tesa,613xx,,,,1,10
brand_tesa,Tesa,618xx,,,,1,10
brand_tesa,Tesa,619xx,,,,1,10
brand_tesa,Tesa,6262x,,,,1,10
brand_tesa,Tesa,649xx,,,,1,10
brand_tesa,Tesa,660xx,,,,1,10
brand_tesa,Tesa,661xx,,,,1,10
brand_tesa,Tesa,668xx,,,,1,10
brand_tesa,Tesa,669xx,,,,1,10
brand_tesa,Tesa,686xx,,,,1,10
brand_tesa,Tesa,688xx,,,,1,10
brand_tesa,Tesa,692xx,,,,1,10
brand_tesa,Tesa,704xx,,,,1,10
brand_tesa,Tesa,706xx,,,,1,10
brand_tesa,Tesa,751xx,,,,1,10
brand_tesa,Tesa,754xx/756xx,,,,1,10
brand_tesa,Tesa,757xx,,,,1,10
brand_tesa,Tesa,760xx,,,,1,10
brand_tesa,Tesa,761xx,,,,1,10
brand_tesa,Tesa,769xx,,,,1,10
brand_tesa,Tesa,772xx,,,,1,10
brand_tesa,Tesa,778xx,,,,1,10
brand_tesa,Tesa,885xx,,,,1,10
brand_tesa,Tesa,886xx,,,,1,10
brand_tesa,Tesa,921xx,,,,1,10
brand_tesa,Tesa,320xx,,,,1,10
,3M,3M VHB,,,,1,10
,3M,3M GT7100 系列,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div><div><img class=""img-fluid"" data-file-name=""image.png"" src=""/web/image/1093-c1845dba/image.png?access_token=a73784b7-d6fb-4b71-8279-69e8d8a23443"" data-original-id=""1093"" data-original-src=""/web/image/1093-c1845dba/image.png"" data-mimetype-before-conversion=""image/png"" style=""width: 50%;""></div><div><span data-embedded=""file"" class=""o_file_box o-contenteditable-false"" data-embedded-props='{""fileData"":{""access_token"":""6472a798-6121-484a-b09f-f97d12c4ee37"",""checksum"":""a2304a6d49b7be9400d2ba8ca43ed2d9503b75f9"",""extension"":""pdf"",""filename"":""3m-acrylic-foam-tape-gt7100-series-technical-data-sheet.pdf"",""id"":1094,""mimetype"":""application/pdf"",""name"":""3m-acrylic-foam-tape-gt7100-series-technical-data-sheet.pdf"",""type"":""binary"",""url"":""""}}'></span></div>",1,10
,3M,DC2000,"1. 对油漆面和镀铬表面具有良好粘接力。
2. 泡棉芯材较硬，抗扭转能力强，适合字母徽标类贴合。
3. 低温冲击表现较好。
4. 适用于高速旋转模切、平刀模切和激光模切。
5. 可选 SC2 白色高密度聚乙烯离型膜或 PET 透明聚酯离型膜。
6. 建议在 4°C-38°C、0-95%RH 环境储存，最佳储存条件为 22°C、50%RH。
7. 拔脱测试表明其适用于带突缘或开口结构的铭牌件固定。
8. 扭矩测试表明其可用于承受一定扭转载荷的徽标与装饰件粘接。",3M DC2000 系列是一款黑色丙烯酸泡棉双面胶，主要用于汽车外饰铭牌、徽标和标识件固定，兼顾模切加工适配性与抗扯脱、抗扭转能力。,"<p data-oe-version=""2.0"">适用于汽车外饰铭牌、徽章、标识件，以及部分以机械固定为主的低载荷应用，例如轻量 A 柱饰板、局部密封和需要胶带兼作垫片的尾翼应用。</p><p><img class=""img-fluid"" data-file-name=""image.png"" src=""/web/image/1106-50886dde/image.png?access_token=feb8b683-51e9-4023-a05f-b8980d057896""></p><p><span data-embedded=""file"" class=""o_file_box o-contenteditable-false"" data-embedded-props='{""fileData"":{""access_token"":""b95f7df8-f054-48f7-bb4a-b3b415e69194"",""checksum"":""fdfd65eecc9e580ec86e474dabecf69c58842662"",""extension"":""pdf"",""filename"":""3M DC2000.pdf"",""id"":1238,""mimetype"":""application/pdf"",""name"":""3M DC2000.pdf"",""type"":""binary"",""url"":""""}}'></span></p>",1,10
,3M,3M Conformable Bonding Tape BT3005,初粘力高；可贴合性强；耐候、耐热、耐化学性能优异。,用于粗糙或不规则表面的可贴合双面胶带。,<p>适用于汽车线束固定、内外饰件粘接与密封。</p>,1,10
